id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
8268,2023-01-02 09:11:36.780816,5.4,3.9,1.3,0.4,0
8267,2023-01-02 09:11:35.773860,5.1,3.8,1.6,0.2,0
8266,2023-01-02 09:11:34.767339,6.4,3.1,5.5,1.8,2
8265,2023-01-02 09:11:33.757883,5.4,3.4,1.7,0.2,0
8264,2023-01-02 09:11:32.745865,5.0,2.3,3.3,1.0,1
8263,2023-01-02 09:11:31.731935,5.0,3.4,1.6,0.4,0
8262,2023-01-02 09:11:30.720184,6.8,3.0,5.5,2.1,2
8261,2023-01-02 09:11:29.708378,6.0,2.2,5.0,1.5,2
8260,2023-01-02 09:11:28.697115,6.2,3.4,5.4,2.3,2
8259,2023-01-02 09:11:27.686352,5.6,3.0,4.1,1.3,1
8258,2023-01-02 09:11:26.673592,5.4,3.4,1.5,0.4,0
8257,2023-01-02 09:11:25.664078,4.4,2.9,1.4,0.2,0
8256,2023-01-02 09:11:24.656988,6.9,3.1,5.4,2.1,2
8255,2023-01-02 09:11:23.646649,5.4,3.9,1.3,0.4,0
8254,2023-01-02 09:11:22.632771,6.4,2.7,5.3,1.9,2
8253,2023-01-02 09:11:21.620586,6.5,2.8,4.6,1.5,1
8252,2023-01-02 09:11:20.609187,6.7,3.1,4.7,1.5,1
8251,2023-01-02 09:11:19.601015,4.6,3.4,1.4,0.3,0
8250,2023-01-02 09:11:18.591265,5.7,2.8,4.5,1.3,1
8249,2023-01-02 09:11:17.578785,6.7,3.3,5.7,2.1,2
8248,2023-01-02 09:11:16.569346,4.4,2.9,1.4,0.2,0
8247,2023-01-02 09:11:15.558707,5.8,4.0,1.2,0.2,0
8246,2023-01-02 09:11:14.544918,5.5,4.2,1.4,0.2,0
8245,2023-01-02 09:11:13.535721,5.6,3.0,4.1,1.3,1
8244,2023-01-02 09:11:12.526889,5.5,4.2,1.4,0.2,0
8243,2023-01-02 09:11:11.519795,6.3,3.4,5.6,2.4,2
8242,2023-01-02 09:11:10.512062,5.7,2.9,4.2,1.3,1
8241,2023-01-02 09:11:09.501222,5.7,2.8,4.1,1.3,1
8240,2023-01-02 09:11:08.492701,4.3,3.0,1.1,0.1,0
8239,2023-01-02 09:11:07.484467,6.3,3.3,4.7,1.6,1
8238,2023-01-02 09:11:06.476787,6.9,3.1,4.9,1.5,1
8237,2023-01-02 09:11:05.469571,5.2,2.7,3.9,1.4,1
8236,2023-01-02 09:11:04.461813,7.1,3.0,5.9,2.1,2
8235,2023-01-02 09:11:03.454184,4.7,3.2,1.6,0.2,0
8234,2023-01-02 09:11:02.446955,5.0,3.2,1.2,0.2,0
8233,2023-01-02 09:11:01.440067,5.8,4.0,1.2,0.2,0
8232,2023-01-02 09:11:00.432523,6.7,3.3,5.7,2.1,2
8231,2023-01-02 09:10:59.424759,6.0,2.7,5.1,1.6,1
8230,2023-01-02 09:10:58.414049,7.1,3.0,5.9,2.1,2
8229,2023-01-02 09:10:57.405738,5.1,3.5,1.4,0.3,0
8228,2023-01-02 09:10:56.398583,6.9,3.1,5.4,2.1,2
8227,2023-01-02 09:10:55.388204,4.9,2.4,3.3,1.0,1
8226,2023-01-02 09:10:54.374928,5.8,2.7,5.1,1.9,2
8225,2023-01-02 09:10:53.364590,6.5,2.8,4.6,1.5,1
8224,2023-01-02 09:10:52.353780,4.4,2.9,1.4,0.2,0
8223,2023-01-02 09:10:51.343196,5.7,2.8,4.5,1.3,1
8222,2023-01-02 09:10:50.334642,6.4,3.2,5.3,2.3,2
8221,2023-01-02 09:10:49.325828,5.6,3.0,4.5,1.5,1
8220,2023-01-02 09:10:48.315202,5.8,2.7,3.9,1.2,1
8219,2023-01-02 09:10:47.305872,6.7,3.1,4.4,1.4,1
8218,2023-01-02 09:10:46.294459,5.6,3.0,4.1,1.3,1
8217,2023-01-02 09:10:45.283324,5.8,2.8,5.1,2.4,2
8216,2023-01-02 09:10:44.275349,6.1,3.0,4.6,1.4,1
8215,2023-01-02 09:10:43.266936,4.8,3.4,1.9,0.2,0
8214,2023-01-02 09:10:42.254609,6.2,2.8,4.8,1.8,2
8213,2023-01-02 09:10:41.247977,5.4,3.9,1.3,0.4,0
8212,2023-01-02 09:10:40.241032,6.3,2.5,5.0,1.9,2
