id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
2800,2022-12-30 06:03:27.253950,5.4,3.7,1.5,0.2,0
2799,2022-12-30 06:03:26.241866,6.3,2.5,5.0,1.9,2
2798,2022-12-30 06:03:25.229615,5.6,2.9,3.6,1.3,1
2797,2022-12-30 06:03:24.217859,5.1,2.5,3.0,1.1,1
2796,2022-12-30 06:03:23.204971,6.3,3.4,5.6,2.4,2
2795,2022-12-30 06:03:22.192952,5.3,3.7,1.5,0.2,0
2794,2022-12-30 06:03:21.179560,5.0,3.4,1.6,0.4,0
2793,2022-12-30 06:03:20.167108,6.3,2.9,5.6,1.8,2
2792,2022-12-30 06:03:19.155045,5.4,3.9,1.7,0.4,0
2791,2022-12-30 06:03:18.143759,5.4,3.9,1.3,0.4,0
2790,2022-12-30 06:03:17.132113,4.7,3.2,1.3,0.2,0
2789,2022-12-30 06:03:16.120877,5.0,3.5,1.3,0.3,0
2788,2022-12-30 06:03:15.109825,5.3,3.7,1.5,0.2,0
2787,2022-12-30 06:03:14.097891,4.8,3.0,1.4,0.1,0
2786,2022-12-30 06:03:13.086795,6.7,3.1,5.6,2.4,2
2785,2022-12-30 06:03:12.076783,5.4,3.7,1.5,0.2,0
2784,2022-12-30 06:03:11.067762,6.7,3.1,4.7,1.5,1
2783,2022-12-30 06:03:10.055610,5.4,3.0,4.5,1.5,1
2782,2022-12-30 06:03:09.044876,7.7,2.6,6.9,2.3,2
2781,2022-12-30 06:03:08.034783,6.0,3.4,4.5,1.6,1
2780,2022-12-30 06:03:07.023829,6.5,3.0,5.8,2.2,2
2779,2022-12-30 06:03:06.014712,6.4,2.8,5.6,2.1,2
2778,2022-12-30 06:03:05.003399,7.7,2.6,6.9,2.3,2
2777,2022-12-30 06:03:03.993114,6.8,2.8,4.8,1.4,1
2776,2022-12-30 06:03:02.980368,6.6,3.0,4.4,1.4,1
2775,2022-12-30 06:03:01.970053,5.2,2.7,3.9,1.4,1
2774,2022-12-30 06:03:00.958775,4.9,2.4,3.3,1.0,1
2773,2022-12-30 06:02:59.947216,6.9,3.1,5.1,2.3,2
2772,2022-12-30 06:02:58.933332,6.4,3.2,5.3,2.3,2
2771,2022-12-30 06:02:57.921553,6.8,2.8,4.8,1.4,1
2770,2022-12-30 06:02:56.911466,6.4,3.2,5.3,2.3,2
2769,2022-12-30 06:02:55.897186,6.1,2.8,4.0,1.3,1
2768,2022-12-30 06:02:54.888943,6.5,3.0,5.8,2.2,2
2767,2022-12-30 06:02:53.878682,6.2,2.2,4.5,1.5,1
2766,2022-12-30 06:02:52.866162,6.1,2.8,4.0,1.3,1
2765,2022-12-30 06:02:51.854721,6.2,2.9,4.3,1.3,1
2764,2022-12-30 06:02:50.841888,5.0,3.2,1.2,0.2,0
